Rank,Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
1,Todd Gurley,302,0,0,0,0,0,0,256,"1,251",17,2,59,580,4,1,1,0
2,Saquon Barkley,283,0,0,0,0,0,0,261,"1,307",11,1,91,721,4,0,0,0
3,Christian McCaffrey,267,1,1,50,1,0,0,219,"1,098",7,0,107,867,6,0,1,0
4,Alvin Kamara,259,0,0,0,0,0,0,194,883,14,3,81,709,4,0,0,0
5,Ezekiel Elliott,240,0,0,0,0,0,0,304,"1,434",6,0,77,567,3,0,1,0
6,Tyreek Hill,229,0,0,0,0,0,0,22,151,1,0,87,"1,479",12,0,0,0
7,Melvin Gordon,216,0,0,0,0,0,0,175,885,10,1,50,490,4,1,0,0
8,DeAndre Hopkins,215,1,0,0,0,0,0,1,-7,0,0,115,"1,572",11,0,2,0
9,James Conner,215,0,0,0,0,0,0,215,973,12,0,55,497,1,2,2,0
10,Antonio Brown,213,1,0,0,0,0,0,0,0,0,0,104,"1,297",15,0,0,0
11,Davante Adams,213,0,0,0,0,0,0,0,0,0,0,111,"1,386",13,1,0,0
12,Julio Jones,206,0,0,0,0,0,0,2,12,0,0,113,"1,677",8,0,2,0
13,Kareem Hunt,197,0,0,0,0,0,0,181,824,7,0,26,378,7,0,0,0
14,Mike Evans,197,0,0,0,0,0,0,0,0,0,0,86,"1,524",8,0,1,1
15,Joe Mixon,190,0,0,0,0,0,0,237,"1,168",8,0,43,296,1,0,0,0
16,Adam Thielen,187,0,0,0,0,0,0,5,30,0,0,113,"1,373",9,1,1,0
17,Michael Thomas,184,0,0,0,0,0,0,0,0,0,0,125,"1,405",9,0,2,0
18,Travis Kelce,184,0,0,0,0,0,0,0,0,0,0,103,"1,336",10,0,1,0
19,David Johnson,184,0,0,0,0,0,0,258,940,7,1,50,446,3,0,2,0
20,JuJu Smith-Schuster,180,0,0,0,0,0,0,1,13,0,0,111,"1,426",7,1,1,0
21,Phillip Lindsay,178,0,0,0,0,0,0,192,"1,037",9,0,35,241,1,0,0,0
22,James White,177,0,0,0,0,0,0,94,425,5,0,87,751,7,0,0,0
23,Derrick Henry,175,3,2,14,0,0,0,215,"1,059",12,0,15,99,0,0,1,0
24,Chris Carson,172,0,0,0,0,0,0,247,"1,151",9,0,20,163,0,0,2,0
25,Robert Woods,168,0,0,0,0,0,0,19,157,1,0,86,"1,219",6,0,0,0
26,Nick Chubb,167,0,0,0,0,0,0,192,996,8,0,20,149,2,0,0,0
27,George Kittle,164,0,0,0,0,0,0,1,10,0,0,88,"1,377",5,1,0,0
28,Adrian Peterson,158,0,0,0,0,0,0,251,"1,042",7,0,20,208,1,0,2,0
29,Zach Ertz,158,0,0,0,0,0,0,0,0,0,0,116,"1,163",8,0,0,0
