Rank,Player,Position,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
1,Christian McCaffrey,RB,340,2,0,0,0,0,0,287,1387,15,1,116,1005,4,0,0,0
2,Derrick Henry,RB,266,0,0,0,0,0,0,303,1540,16,0,18,206,2,0,3,0
3,Aaron Jones,RB,255,0,0,0,0,0,0,236,1084,16,0,49,474,3,0,2,0
4,Ezekiel Elliott,RB,246,0,0,0,0,0,0,301,1357,12,0,54,420,2,0,2,0
5,Dalvin Cook,RB,229,0,0,0,0,0,0,250,1135,13,0,53,519,0,0,2,0
6,Michael Thomas,WR,219,0,0,0,0,0,0,1,-9,0,0,149,1725,9,0,0,0
7,Nick Chubb,RB,209,0,0,0,0,0,0,298,1494,8,0,36,278,0,0,3,0
8,Mark Ingram,RB,206,0,0,0,0,0,0,202,1018,10,2,26,247,5,0,2,0
9,Austin Ekeler,RB,203,0,0,0,0,0,0,132,557,3,0,92,993,8,0,2,0
10,Chris Carson,RB,188,0,0,0,0,0,0,278,1230,7,0,37,266,2,0,4,0
11,Chris Godwin,WR,186,0,0,0,0,0,0,1,8,0,0,86,1333,9,1,0,0
12,Saquon Barkley,RB,181,0,0,0,0,0,0,217,1003,6,0,52,438,2,0,0,0
13,Todd Gurley,RB,180,0,0,0,0,0,0,223,857,12,1,31,207,2,0,2,0
14,Joe Mixon,RB,179,0,0,0,0,0,0,278,1137,5,0,35,287,3,0,0,0
15,Kenny Golladay,WR,177,0,0,0,0,0,0,0,0,0,0,65,1190,11,0,1,0
16,Leonard Fournette,RB,173,0,0,0,0,0,0,265,1152,3,0,76,522,0,0,1,0
17,Cooper Kupp,WR,171,1,0,0,0,0,0,2,4,0,0,94,1161,10,0,0,0
18,Julio Jones,WR,168,0,0,0,0,0,0,2,-3,0,0,99,1394,6,0,0,0
19,DeVante Parker,WR,166,0,0,0,0,0,0,0,0,0,0,72,1202,9,0,0,0
20,Joshua Jacobs,RB,164,0,0,0,0,0,0,242,1150,7,0,20,166,0,0,1,0
21,Mike Evans,WR,161,0,0,0,0,0,0,0,0,0,0,67,1157,8,1,0,0
22,DeAndre Hopkins,WR,159,2,1,6,1,1,0,2,18,0,0,104,1165,7,1,0,0
23,Amari Cooper,WR,159,0,0,0,0,0,0,1,6,0,0,79,1189,8,0,0,0
24,A.J. Brown,WR,158,0,0,0,0,0,0,3,60,1,0,52,1051,8,0,0,0
25,Miles Sanders,RB,157,0,0,0,0,0,0,179,818,3,1,50,509,3,0,1,0
26,Marlon Mack,RB,156,0,0,0,0,0,0,247,1091,8,1,14,82,0,0,0,0
27,Alvin Kamara,RB,156,1,1,13,0,0,0,171,797,5,0,81,533,1,0,1,0
28,Kenyan Drake,RB,153,0,0,0,0,0,0,170,817,8,0,50,345,0,1,1,0
29,Travis Kelce,TE,151,0,0,0,0,0,0,1,4,1,0,97,1229,5,0,1,0
30,Julian Edelman,WR,151,2,2,47,1,0,0,8,27,0,0,100,1117,6,1,1,0
31,Allen Robinson,WR,150,0,0,0,0,0,0,1,2,0,0,98,1147,7,0,0,0
32,Phillip Lindsay,RB,150,0,0,0,0,0,0,224,1011,7,0,35,196,0,0,0,0
33,Keenan Allen,WR,150,0,0,0,0,0,0,3,16,0,0,104,1199,6,0,0,0
34,Tyler Lockett,WR,149,0,0,0,0,0,0,4,-5,0,0,82,1057,8,0,0,0
35,Jarvis Landry,WR,147,0,0,0,0,0,0,1,10,0,0,83,1174,6,0,0,0
36,D.J. Chark,WR,145,0,0,0,0,0,0,2,20,0,0,73,1008,8,1,0,0
37,Courtland Sutton,WR,143,1,1,38,0,0,0,3,17,0,0,72,1112,6,0,0,0
38,Raheem Mostert,RB,143,0,0,0,0,0,0,137,772,8,0,14,180,2,0,2,0
39,Stefon Diggs,WR,142,1,0,0,0,0,0,5,61,0,0,63,1130,6,0,3,0
40,John Brown,WR,141,1,1,28,1,0,0,2,7,0,0,72,1060,6,0,0,0
41,D.J. Moore,WR,138,0,0,0,0,0,0,6,40,0,0,87,1175,4,0,1,0
42,Michael Gallup,WR,138,0,0,0,0,0,0,0,0,0,0,66,1107,6,0,0,0
43,Le'Veon Bell,RB,138,0,0,0,0,0,0,245,789,3,0,66,461,1,1,1,0
44,Mark Andrews,TE,138,0,0,0,0,0,0,0,0,0,0,64,852,10,0,1,0
45,Carlos Hyde,RB,136,0,0,0,0,0,0,245,1070,6,0,10,42,0,0,2,0
46,David Montgomery,RB,135,0,0,0,0,0,0,242,889,6,0,25,185,1,0,2,0
47,Sony Michel,RB,133,0,0,0,0,0,0,247,912,7,0,12,94,0,0,1,0
48,Melvin Gordon,RB,131,0,0,0,0,0,0,162,612,8,0,42,296,1,0,3,0
49,Robert Woods,WR,130,0,0,0,0,0,0,17,115,1,0,90,1134,2,0,0,0
50,Terry McLaurin,WR,128,0,0,0,0,0,0,0,0,0,0,58,919,7,0,0,0
51,George Kittle,TE,128,0,0,0,0,0,0,5,22,0,0,85,1053,5,0,0,0
52,Devonta Freeman,RB,128,0,0,0,0,0,0,184,656,2,0,59,410,4,0,2,0
53,Calvin Ridley,WR,127,0,0,0,0,0,0,2,34,0,0,63,866,7,1,0,0
54,Tyler Boyd,WR,127,0,0,0,0,0,0,4,23,0,0,90,1046,5,0,2,0
55,Darren Waller,TE,126,0,0,0,0,0,0,2,5,0,0,90,1145,3,0,1,0
56,Marvin Jones,WR,126,0,0,0,0,0,0,2,0,0,0,62,779,9,0,0,0
57,Davante Adams,WR,126,0,0,0,0,0,0,0,0,0,0,83,997,5,1,1,0
58,Ronald Jones II,RB,125,0,0,0,0,0,0,172,724,6,0,31,309,0,0,2,0
59,D.K. Metcalf,TE,124,0,0,0,0,0,0,2,11,0,0,58,900,7,1,3,0
60,Tyreek Hill,WR,124,0,0,0,0,0,0,8,23,0,0,58,860,7,0,0,0
61,Deebo Samuel,WR,123,0,0,0,0,0,0,14,159,3,0,57,802,3,1,1,0
62,Zach Ertz,TE,123,0,0,0,0,0,0,0,0,0,0,88,916,6,1,1,0
63,Odell Beckham Jr.,WR,121,2,1,20,0,0,0,3,10,0,0,74,1035,4,0,1,0
64,Emmanuel Sanders,WR,119,1,1,35,1,0,0,0,0,0,0,66,869,5,1,0,0
65,Darius Slayton,WR,118,0,0,0,0,0,0,0,0,0,0,48,740,8,0,0,0
66,Adrian Peterson,RB,118,0,0,0,0,0,0,211,898,5,0,17,142,0,0,2,0
67,Jared Cook,TE,118,0,0,0,0,0,0,0,0,0,0,43,705,9,0,0,0
68,James White,RB,115,1,1,35,0,0,0,67,263,1,1,72,645,5,0,1,0
69,Jamison Crowder,WR,112,0,0,0,0,0,0,1,4,0,0,78,833,6,0,0,0
70,Austin Hooper,TE,111,0,0,0,0,0,0,0,0,0,0,75,787,6,1,0,0
71,Cole Beasley,WR,111,0,0,0,0,0,0,0,0,0,0,67,778,6,2,0,0
72,Latavius Murray,RB,110,0,0,0,0,0,0,146,637,5,0,34,235,1,0,0,0
73,Devin Singletary,RB,108,0,0,0,0,0,0,151,775,2,0,29,194,2,0,1,0
74,Curtis Samuel,WR,108,0,0,0,0,0,0,19,130,1,0,54,627,6,0,0,0
75,James Conner,RB,106,0,0,0,0,0,0,116,464,4,0,34,251,3,0,1,0
76,Mike Williams,WR,105,0,0,0,0,0,0,1,2,0,0,49,1001,2,0,0,0
77,Tevin Coleman,RB,105,0,0,0,0,0,0,137,544,6,0,21,180,1,0,0,0
78,Robby Anderson,WR,104,0,0,0,0,0,0,1,4,0,0,52,779,5,1,0,0
79,Damien Williams,RB,102,0,0,0,0,0,0,111,498,5,0,30,213,2,0,1,0
80,Chris Conley,WR,101,0,0,0,0,0,0,0,0,0,0,47,775,5,1,0,0
81,Golden Tate,WR,100,0,0,0,0,0,0,1,16,0,0,49,676,6,0,1,0
82,Duke Johnson,RB,99,0,0,0,0,0,0,83,410,2,0,44,410,3,0,1,0
83,Breshad Perriman,WR,98,0,0,0,0,0,0,2,16,0,0,36,645,6,0,0,0
84,Jamaal Williams,RB,96,0,0,0,0,0,0,107,460,1,0,39,253,5,0,0,0
85,David Johnson,RB,96,0,0,0,0,0,0,94,345,2,0,36,370,4,0,1,0
86,Larry Fitzgerald,WR,95,0,0,0,0,0,0,0,0,0,0,75,804,4,0,1,0
87,Randall Cobb,WR,95,1,0,0,0,0,0,3,11,0,0,55,828,3,0,1,0
88,Marquise Brown,WR,95,0,0,0,0,0,0,0,0,0,0,46,584,7,0,0,0
89,Tyrell Williams,WR,94,0,0,0,0,0,0,0,0,0,0,42,651,6,0,0,0
90,Jordan Howard,RB,94,0,0,0,0,0,0,119,525,6,0,10,69,1,0,0,0
91,Diontae Johnson,WR,91,0,0,0,0,0,0,4,41,0,0,59,680,5,0,2,0
92,Hunter Henry,TE,91,0,0,0,0,0,0,0,0,0,0,55,652,5,1,1,0
93,Peyton Barber,RB,91,0,0,0,0,0,0,154,470,6,1,16,115,1,0,1,0
94,Christian Kirk,WR,89,0,0,0,0,0,0,10,93,0,0,68,709,3,1,0,0
95,Zach Pascal,WR,87,1,0,0,0,0,0,2,16,0,0,41,607,5,1,0,0
96,Royce Freeman,RB,87,0,0,0,0,0,0,132,496,3,0,43,256,1,0,0,0
97,James Washington,WR,86,0,0,0,0,0,0,0,0,0,0,44,735,3,0,1,0
98,Tyler Higbee,WR,86,0,0,0,0,0,0,0,0,0,0,69,734,3,0,0,0
99,Dede Westbrook,WR,84,0,0,0,0,0,0,5,27,0,0,66,660,3,2,0,0
100,LeSean McCoy,RB,84,0,0,0,0,0,0,101,465,4,0,28,181,1,0,2,0
